datetime,NO1,NO2,NO3,NO4,NO5,NO1_pct_hourly,NO2_pct_hourly,NO3_pct_hourly,NO4_pct_hourly,NO5_pct_hourly,NO1_pct_daily,NO2_pct_daily,NO3_pct_daily,NO4_pct_daily,NO5_pct_daily
2024-08-16 21:00:00+02:00,0.16932,0.6701,0.16932,0.16932,0.16932,-3.2954480552858545,-0.1058421907842777,-3.2954480552858545,-3.2954480552858545,-3.2954480552858545,-21.096043618062353,0.8563989103114178,-7.878128400435247,-7.878128400435247,-21.096043618062353
2024-08-16 22:00:00+02:00,0.16073,0.66492,0.16073,0.16073,0.16073,-5.073234112922265,-0.7730189523951769,-5.073234112922265,-5.073234112922265,-5.073234112922265,-25.140887709002836,1.446356645917235,-10.947974957061335,-10.947974957061335,-25.140887709002836
2024-08-16 23:00:00+02:00,0.1332,0.66363,0.1332,0.1332,0.1332,-17.128103029925956,-0.19400830175057004,-17.128103029925956,-17.128103029925956,-17.128103029925956,-31.15211660722592,0.3462666706988804,2.3670458038733466,2.3670458038733466,-31.15211660722592
2024-08-17 00:00:00+02:00,0.13824,0.64307,0.13824,0.13824,0.13824,3.7837837837837673,-3.0981118997031487,3.7837837837837673,3.7837837837837673,3.7837837837837673,-16.793066088840735,-2.7184436645286136,351.9123896698267,351.9123896698267,-16.793066088840735
2024-08-17 01:00:00+02:00,0.11276,0.63919,0.11276,0.11276,0.11276,-18.431712962962965,-0.6033557777535892,-18.431712962962965,-18.431712962962965,-18.431712962962965,-18.230601885424214,-2.3153100834428564,inf,inf,-18.230601885424214
2024-08-17 02:00:00+02:00,0.09467,0.63778,0.09467,0.09467,0.09467,-16.042923022348344,-0.22059168635304438,-16.042923022348344,-16.042923022348344,-16.042923022348344,-15.306852746466271,-1.3411710109057062,-27148.57142857143,-27148.57142857143,-15.306852746466271
2024-08-17 03:00:00+02:00,0.09314,0.63696,0.09314,0.09314,0.09314,-1.6161402767508215,-0.1285709805889268,-1.6161402767508215,-1.6161402767508215,-1.6161402767508215,-16.586064839691915,-1.9684494036167899,-11458.536585365855,-11458.536585365855,-16.586064839691915
2024-08-17 04:00:00+02:00,0.09056,0.63696,0.09056,0.09056,0.09056,-2.7700236203564543,0.0,-2.7700236203564543,-2.7700236203564543,-2.7700236203564543,-18.896650546301263,8.159141464739928,-15449.15254237288,-15449.15254237288,-18.896650546301263
2024-08-17 05:00:00+02:00,0.09373,0.63625,0.09373,0.09373,0.09373,3.5004416961130547,-0.11146696809846146,3.5004416961130547,3.5004416961130547,3.5004416961130547,-3.3312706270627213,-3.9724104622907763,-78208.33333333333,-78208.33333333333,-3.3312706270627213
2024-08-17 06:00:00+02:00,0.09843,0.63708,0.09843,0.09843,0.09843,5.0144030726555044,0.13045186640472384,5.0144030726555044,5.0144030726555044,5.0144030726555044,-33.873026536782,-4.4413445529406514,81925.0,81925.0,-33.873026536782
