datetime,NO1_label,NO2_label,NO3_label,NO4_label,NO5_label,NO1_pct_hourly_label,NO2_pct_hourly_label,NO3_pct_hourly_label,NO4_pct_hourly_label,NO5_pct_hourly_label,NO1_pct_daily_label,NO2_pct_daily_label,NO3_pct_daily_label,NO4_pct_daily_label,NO5_pct_daily_label
2025-05-30 09:00:00+02:00,0.55323,0.56358,0.05391,0.04931,0.45978,-0.11493112771369607,-0.06234090341901677,1.1124608150470219,3.422421524663677,-0.04647545573321721,0.0,0.0,17.425397516880857,392.6073926073927,4.581020835228844
2025-05-30 10:00:00+02:00,0.42495,0.44737,0.09069,0.01299,0.48392,-0.23187462718941487,-0.20619965222328684,0.6822481914301615,-0.7365645913607788,0.052503371177519575,0.0,0.0,12.924915950691071,4.505229283990353,15.958976325122196
2025-05-30 11:00:00+02:00,0.43518,0.45311,0.03138,0.01368,0.51829,0.024073420402400236,0.012830542951024926,-0.6539861065167053,0.053117782909930744,0.07102413622086301,2.498998987210599,2.2060316242979328,0.0,7.126076742364917,20.473722135701177
2025-05-30 12:00:00+02:00,0.37495,0.38553,0.0938,0.03046,0.48645,-0.13840250011489497,-0.14914700624572408,1.9891650732950925,1.2266081871345031,-0.061432788593258625,750.8055366462447,903.2006245121,123.97325692454632,122.49817384952522,537.7163083377031
2025-05-30 13:00:00+02:00,0.51001,0.52197,0.11495,0.02724,0.45989,0.3602080277370314,0.35390242004513284,0.22547974413646066,-0.10571240971766249,-0.054599650529345234,1762.7100073046015,2615.76482830385,243.33930704898444,76.65369649805449,648.5188802083334
2025-05-30 14:00:00+02:00,0.58748,0.59852,0.04575,0.01552,0.45288,0.15189898237289468,0.14665593808073263,-0.6020008699434537,-0.4302496328928047,-0.01524277544630237,202.12393931601952,282.7588412099508,0.0,27.21311475409836,32.39395445376678
2025-05-30 15:00:00+02:00,0.55898,0.57358,0.13161,0.02149,0.45702,-0.0485122897800776,-0.0416694513132394,1.8767213114754102,0.384664948453608,0.009141494435612074,446.4659301984554,583.8102050548403,36.979600333055785,60.973782771535554,136.5650395983229
2025-05-30 16:00:00+02:00,0.59702,0.60404,0.10058,0.0,0.46622,0.06805252424058095,0.05310505945116639,-0.2357723577235773,-1.0,0.020130410047700442,0.4407806191117025,1.2487638076400964,103.2740501212611,0.0,18.93063952450192
2025-05-30 17:00:00+02:00,0.56381,0.60599,0.30116,0.0131,0.52863,-0.05562627717664392,0.003228263028938416,1.9942334460131237,,0.13386384110505767,0.0,0.0,46.87865782286382,0.0,6.3021576947053015
2025-05-30 18:00:00+02:00,0.62174,0.68772,0.28736,0.03954,0.52863,0.10274737943633472,0.13487021237974228,-0.04582281843538316,2.018320610687023,0.0,0.0,5.025885371329086,54.54447671291816,186.314265025344,0.0
2025-05-30 19:00:00+02:00,0.73185,0.76956,0.0723,0.13506,0.52852,0.17709975230803887,0.11900191938579652,-0.7483992204899776,2.4157814871016696,-0.00020808505003511168,4.016543725749355,5.443733472178458,0.0,445.9175424413905,0.0
2025-05-30 20:00:00+02:00,0.72254,0.77312,0.09069,0.01977,0.52691,-0.012721186035389853,0.00462602006341295,0.25435684647302903,-0.8536206130608619,-0.0030462423370922753,6.0578038075946194,6.756514174456973,0.0,0.0,0.0
2025-05-30 21:00:00+02:00,0.69576,0.76278,0.17173,0.0,0.51817,-0.03706369197553061,-0.013374379139072912,0.8935935604807583,-1.0,-0.016587272968818123,3.649852516163654,9.958195185238573,7.378227974738949,0.0,0.2107991026533584
2025-05-30 22:00:00+02:00,0.35415,0.73657,0.26035,0.0,0.46668,-0.4909882718178682,-0.0343611526259211,0.5160426250509522,,-0.0993689329756644,0.0,14.60022093258444,42.0426646298216,0.0,0.0
2025-05-30 23:00:00+02:00,0.63254,0.73013,0.10494,0.0,0.52288,0.7860793449103487,-0.008743228749473864,-0.5969272133666219,,0.12042513071055128,14.83606259758179,27.85745556431136,0.0,0.0,19.45808868885792
2025-05-31 00:00:00+02:00,0.45357,0.75507,0.11655,0.0,0.47886,-0.28293862838713757,0.034158300576609735,0.11063464837049741,,-0.08418757649938802,32.63832027137676,119.47795250414212,0.0,0.0,47.88758492896852
2025-05-31 01:00:00+02:00,0.45288,0.75806,0.1146,0.0,0.47829,-0.00152126463390434,0.003959897757823683,-0.016731016731016846,,-0.0011903270266884203,49.41110487941671,145.16817593790427,5.166559603560605,0.0,79.43052220888353
2025-05-31 02:00:00+02:00,0.50151,0.76611,0.11265,0.0,0.51737,0.1073794382617912,0.010619212199562078,-0.017015706806282616,,0.08170775052792245,59.93558057212105,139.74651854169923,47.8152473428684,0.0,94.09138655462183
2025-05-31 03:00:00+02:00,0.51633,0.75565,0.11127,0.0,0.51886,0.029550756714721516,-0.013653391810575344,-0.012250332889480742,,0.002879950518970942,194.35608004104665,324.95219885277254,3.5358704754815173,0.0,207.29049452176488
2025-05-31 04:00:00+02:00,0.56633,0.7476,0.11069,0.0,0.51898,0.09683729397865726,-0.010653080129689685,-0.005212546059135459,,0.00023127625949204145,168.79775974180075,249.2968275475401,0.0,0.0,156.97167755991285
2025-05-31 05:00:00+02:00,0.67634,0.70024,0.05368,0.0,0.51311,0.19425070188759208,-0.06334938469769935,-0.5150420092149246,,-0.011310647809164243,22.27726352328612,21.64547286498504,17.05189707806367,0.0,23.450582234626104
2025-05-31 06:00:00+02:00,0.65565,0.67795,0.03264,0.0,0.49036,-0.030591122808055315,-0.031831943333714086,-0.3919523099850968,,-0.04433747149733969,7.582370700971386,7.197634520816543,0.0,0.0,6.5976826590726345
